GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AP-6,533.36,276.85,2.91,1.42,1.12,386.87,17.69,189.7,19.42,221.24,2.57,68.69,2.82,0.26,0.36,6.17,29.7,123.98,13.72,1.0626,0.6168,15.166,14.575,27.409,28.905,20.05,19.976,42.169,33.32
AP-7,525.73,262.83,4.16,1.44,1.26,389.63,21.23,155.54,20.55,214.19,0.5,34.03,1.17,0.03,0.46,10,33.67,98.06,14.59,1.0831,0.6191,15.126,14.159,27.42,28.3,20.904,20.199,40.772,32.445
AP-8,588.16,297.48,1.71,1.35,1.18,357.38,18.9,137.56,19.17,266.6,2.1,36.47,1.22,0.07,0.48,6.75,28.53,106.16,15.32,1.0508,0.6081,14.653,13.786,26.316,28.187,20.259,20.127,42.971,33.004
AP-9,530.54,277.89,2.16,1.3,1.15,338.31,16.39,152.99,19.14,268.16,1.92,47.8,0.93,0.25,0.12,1.76,25.18,87.63,12.19,1.0739,0.6129,14.894,13.915,26.801,28.714,19.859,20.246,43.144,33.679
AQ-10,499.32,226.04,2.48,1.24,1.01,286.96,8.33,157.29,19.57,272.58,2.48,56.6,0.89,0.05,0.28,6.77,9.89,99.15,6.44,1.0928,0.6062,15.07,13.78,28.795,29.827,19.074,20.097,42.781,34.126
AQ-11,495.88,251.62,4.44,1.18,0.98,259.67,7.33,171.1,20.07,263.34,1.95,66.9,0.43,0.07,0.2,4.89,13.53,76.45,5.16,1.1283,0.6116,14.931,13.209,27.979,29.257,19.945,20.786,42.67,34.091
AQ-12,468.06,187.59,7.35,1.49,1.23,247.25,10.37,154.45,0,0,0,64.89,0.85,0.05,0.28,1.94,24.87,103.58,10.28,1.1324,0.6086,16.198,14.88,30.152,30.406,20.457,21.54,40.012,33.4
AQ-13,496.01,233.89,1.7,1.28,1.07,236.17,6.01,234.23,19.4,263.36,2.29,69.83,0.98,0.18,0.05,9.18,10.69,111.82,4.53,1.1479,0.6156,16.125,14.294,28.777,29.988,21.475,22.953,41.26,34.006
AQ-14,536,251.99,4.22,1.52,1.24,277.61,21.69,205.41,19.88,298.96,0.16,34.87,0.61,0.18,0.2,8.6,36.43,112.02,19.88,1.1396,0.6144,15.819,14.825,29.518,30.454,18.857,19.494,41.808,33.685
AQ-2,542.35,133.84,1.23,1.25,1.08,482.96,19.07,176.16,0,0,0,44.29,1.69,0.19,0.23,1.51,28.22,100.05,11.19,1.0971,0.6286,16.291,15.932,26.883,27.977,23.613,20.998,38.018,30.728
AQ-4,470.54,113.75,3.2,1.54,1.21,449.19,21.01,195.54,0,0,0,47.14,0.68,0.12,0.22,5.01,51.73,86.67,10.37,1.0749,0.6226,15.605,15.084,27.501,28.686,22.044,20.046,39.079,31.736
AQ-5,491.79,235.8,6.93,1.32,1.22,356.5,20.23,158.7,18.28,229.69,4.51,55.28,1.36,0.33,0.28,12.12,41.01,89.72,16.41,1.1091,0.611,15.153,13.987,27.719,28.69,19.446,19.082,41.995,33.098
AQ-6,533.02,210.79,0.93,1.27,1.14,392.98,28.75,118.17,17.7,261.75,2.07,33.97,1.55,0.04,0.15,10.28,42.84,107.74,17.65,1.0801,0.6126,14.896,14.001,28.114,29.044,19.599,18.999,41.258,32.643
AQ-7,498.21,236.25,4.49,1.36,1.18,402.32,25.79,185.95,0,0,0,31.83,1.9,0.07,0.14,1.69,47.06,88.91,15.21,1.0962,0.6161,15.193,14.308,27.738,28.351,20.392,19.698,41.065,32.47
AQ-8,514.41,255.76,5.26,1.46,1.36,327.86,18.11,159.74,18.93,277.4,1.78,39.02,0.98,0.22,0.26,9.26,29.32,98.05,13.81,1.0944,0.604,15.072,14.172,27.975,29.205,19.527,19.982,42.494,33.442
AQ-9,510.42,262.76,1.97,1.25,1.11,312.82,18.46,165.62,19.19,269.5,2.92,59.29,0.81,0.1,0.24,3.98,22.05,106.72,15.12,1.0941,0.6064,15.169,14.019,28.522,29.293,19.55,19.958,41.765,33.326
AR-10,517.86,263.07,3.85,1.38,1.16,277.87,14.02,163.26,19.94,270.53,1.55,44.91,1.21,0.07,0.21,13.92,14.05,115.19,11.98,1.105,0.6048,15.273,13.648,28.177,29.616,22.126,22.731,40.505,33.626
AR-11,513.47,266.36,3.63,1.4,1.29,296.75,17.08,183.82,20.15,252.31,1.7,48.69,1.19,0.13,0.25,15.48,26.73,105.02,14.35,1.1107,0.6069,15.175,13.537,27.58,29.286,20.04,21.114,43.28,34.006
AR-12,466.48,115.03,9.34,1.35,1.22,247.36,13.63,200.18,0,0,0,56.72,0.81,0.05,0.08,16.65,23.47,105.6,16.26,1.1292,0.608,15.966,14.137,27.457,29.273,20.619,21.16,42.369,33.562
AR-13,496.67,242.01,7.72,1.5,1.32,277.13,20.12,213.04,19.95,260.4,2.19,41.92,0.81,0.23,0.08,16.61,26,119.9,16.85,1.139,0.6082,16.06,14.34,28.384,29.322,18.145,18.408,43.022,33.506
AR-14,505.82,251.55,3.56,1.31,1.21,323.51,21.66,222.21,18.54,262.71,2.25,34.11,0.43,0.19,0.28,8.4,32.83,122.45,15.86,1.1195,0.615,16.026,14.821,28.107,29.435,19.021,18.889,42.522,33.38
AR-15,496.54,263.49,3.26,1.17,0.9,347.45,16.05,199.64,18.94,266.14,2.19,32.49,2.11,0.2,0.38,1.87,18.42,97.12,11.85,1.1421,0.6134,15.708,14.683,28.803,30.014,20.514,20.227,40.507,32.959
AR-3,650.58,331.67,0.62,1.36,1.26,440.51,16.72,134.88,18.73,245.02,1.83,47.06,1.08,0.2,0.05,1.78,32.29,71.18,10.95,1.0954,0.6257,14.787,14.976,27.276,29.265,23.503,22.301,38.638,32.107
AR-4,535.32,232.99,5.32,1.47,1.27,390.84,23.38,138.07,17.59,263.57,2.7,45.93,1.62,0.26,0.28,2.22,43.98,111.56,15.33,1.0878,0.6224,14.511,14.164,27.213,29.172,20.37,19.854,41.883,32.945
AR-5,515.37,129.62,2.07,1.41,1.13,431.82,25.4,156.34,0,0,0,44.36,1.24,0.29,0.08,1.53,46.94,76.95,15.1,1.0801,0.6142,15.233,14.312,26.986,27.755,21.793,19.813,39.716,31.418
AR-6,534.82,265.43,6.27,1.42,1.21,316.22,12.59,168.15,0,0,0,37.03,1.73,0.09,0.36,6.49,18.16,103.12,9.09,1.1254,0.6055,15.318,13.959,27.622,28.756,19.633,19.567,42.226,33.29
AR-7,573.08,268.8,2.38,1.32,1.14,367.35,22.07,126.3,17.44,261.21,3.72,32.1,2.47,0.05,0.18,1.99,43.67,126.6,17.94,1.0864,0.6138,15.343,14.404,28.277,29.015,19.224,18.905,41.539,32.929
AR-8,531.91,244.48,5.21,1.41,1.18,381.78,23.58,178.07,19.21,296.18,0.05,31.31,1.54,0.34,0.35,1.95,37.14,89.21,15.02,1.0708,0.6174,16.607,16.169,28.402,29.385,21.027,20.812,40.384,32.917
AR-9,593.3,275.94,3.48,1.39,1.29,325.06,23.95,171.31,19.11,285.73,1.16,34.17,0.26,0.11,0.29,8.01,37.47,96.79,15.79,1.0808,0.6044,15.125,14.037,27.268,28.551,20.464,20.521,41.971,33.055
AS-10,523.86,266.58,9.18,1.48,1.35,269.97,18.29,158.49,19.82,256.4,1.33,31.28,1.45,0.18,0.56,2.26,31.69,100.59,15.24,1.1173,0.6027,15.163,13.669,28.623,29.809,22.905,23.275,38.956,33.026
AS-11,519.06,263.34,8.72,1.49,1.34,275.95,20.71,219.85,20.07,252.26,1.39,31.84,1.89,0.05,0.06,2.03,32.77,114.83,18.22,1.1374,0.6075,15.94,14.295,26.914,29.138,21.217,21.676,42.398,33.652
AS-12,526.55,269.82,5.73,1.49,1.2,331.29,18.07,218.56,18.98,259.63,1.96,31.81,1.29,0.08,0.04,1.66,22.19,119.55,14.05,1.14,0.6126,15.524,14.275,27.444,28.874,19.693,19.271,42.315,32.954
AS-13,527.95,272.46,3.69,1.18,1.04,352.39,18.77,218.17,0,0,0,32.78,1.1,0.37,0.55,5.63,33.23,113.88,14.01,1.1205,0.6166,15.103,14.053,28.239,29.536,20.95,20.326,40.533,32.687
AS-14,534.03,257.96,3.41,1.22,0.91,357.84,12.02,172.68,18.26,271.33,2.08,35.47,0.68,0.07,0.07,9.43,16.47,85.81,8.34,1.0879,0.6189,15.297,14.296,27.269,28.708,21.82,21.048,40.686,32.84
AS-3,577.78,270.43,1.16,1.39,1.17,414.29,26.96,243.56,18.21,228.81,2.07,44.08,0.66,0.18,0.05,1.65,40.92,96.61,15.43,1.1032,0.6314,15.024,15.04,28.183,30.629,21.099,20.602,40.582,32.834
AS-4,566.43,114.28,1.1,1.48,1.09,405.27,24.17,190.57,0,0,0,44.29,0.69,0.1,0.13,1.84,52.78,85.62,13.93,1.0816,0.6211,15.023,15.232,26.808,28.638,21.162,20.072,41.292,32.407
AS-5,512.92,258.14,6.06,1.6,1.38,322.56,18.34,185.1,0,0,0,42.23,0.66,0.12,0.07,7.25,34.64,81.34,14.88,1.1077,0.6074,14.768,13.736,27.571,28.651,20.163,19.73,41.614,32.679
AS-6,522.47,278.93,3.98,1.52,1,354.91,20.56,182.81,19.76,233.08,1.05,31.7,1.38,0.07,0.11,2.06,25.36,112.29,16.66,1.0976,0.609,16.091,15.18,27.422,28.772,19.923,19.65,42.174,33.224
AS-7,541.94,294.83,3.42,1.21,0.85,343.09,16.9,151.03,19.07,250.66,1.96,32.48,2.21,0.24,0.12,1.78,20.43,112.73,11.39,1.0883,0.6099,16.018,15.24,26.888,28.659,19.998,19.719,42.581,33.37
AS-8,551.08,232.71,10.52,1.49,1.34,324.9,19.45,146.59,18.33,274.83,1.53,41.82,1.86,0.11,0.44,14.72,34.14,84.27,15.14,1.0917,0.6052,15.618,14.67,27.85,29.184,20.665,20.886,41.478,33.245
AS-9,571.5,289.02,12.29,1.48,1.38,264.82,16.27,176.45,0,0,0,31.29,0.51,0.06,0.29,2.09,23.99,102.19,15.89,1.1165,0.6042,14.96,13.651,28.924,29.948,22.419,22.6,38.893,33.158
AT-10,521.76,227.72,5.15,1.32,1.15,312.43,13.43,218.84,19.33,271.06,3.51,32.96,0.6,0.12,0.37,1.73,18.67,101.25,11.62,1.1297,0.605,16.085,15.378,28.974,29.7,20.549,21.394,41.014,33.474
AT-11,516.89,255.03,10.98,1.52,1.35,271.86,22.88,179.09,19.68,257.66,1.74,32.1,2.32,0.03,0.53,2.52,30.14,115.34,19.9,1.1116,0.6106,15.941,14.616,27.454,29.395,21.781,22.312,41.328,33.669
AT-12,518.9,275.38,3.23,1.24,1.01,331.7,17.55,172.01,19.97,243.1,2.37,31.99,0.77,0.12,0.09,1.82,19.44,121.69,13.3,1.1462,0.6145,15.926,14.791,27.169,28.714,19.545,19.041,42.856,33.129
AT-13,524.28,252.14,0.85,1.16,1.04,369.55,14.28,194.96,20.03,256.93,1.98,48.42,1.89,0.29,0.45,19.26,19.45,122.49,10.26,1.0959,0.6213,15.36,14.745,27.357,29.245,22.804,22.249,39.875,32.64
AT-14,532.44,240.35,0.85,1.41,1.11,357.88,14.54,169,17.84,274.32,3.12,68.12,0.76,0.07,0.28,9.17,17.76,92.25,10.92,1.09,0.6204,14.504,13.874,28.085,29.682,21.719,21.458,40.307,32.88
AT-4,488.28,220.16,0.15,1.23,0.81,450.85,11.38,166.59,17.95,266.89,1.75,47.47,0.98,0.04,0.17,1.91,18.8,74.11,8.48,1.0954,0.6207,14.917,14.526,27.921,29.06,22.568,20.311,38.447,30.77
AT-5,455.23,184.59,0.27,1.22,0.75,433.18,31,223.14,16.97,255.71,2.38,46.92,0.44,0.07,0.33,0.96,36.53,93.88,20.91,1.0711,0.6177,15.172,14.488,28.461,29.467,22.485,21.062,38.305,31.501
AT-6,487.71,253.56,7.21,1.48,1.28,320.62,15.54,178.7,20.29,221.26,1.77,32.34,0.54,0.07,0.16,1.54,36.75,56.69,10.73,1.1064,0.6074,15.844,14.912,26.947,29.057,21.928,21.818,41.116,33.221
